MASV,HOTEN,PHAI,NGSINH,DCHI,DT,MACT,MANGANH,SOTCTL,DTBTL
SV1084,Đặng Hào Nam Tâm,Nữ,2005-07-10,Ninh Bình,0697125374,VP,CNTT,,
SV1085,Đỗ Văn Khánh,Nữ,2001-12-30,Hưng Yên,0933574595,CQ,CNTT,,
SV1086,Hoàng Phương Anh Bình,Nam,2004-04-30,Đồng Tháp,0501643154,VP,CNTT,,
SV1087,Huỳnh Phương Anh Hà,Nam,2002-04-18,Tuyên Quang,0328819798,CLC,CNTT,,
SV1088,Đỗ Phương Trang,Nữ,1999-08-20,Kon Tum,0780134246,CTTT,CNTT,,
SV1089,Phạm Quốc Việt Ngân,Nam,1998-12-06,Thừa Thiên Huế,0470488769,VP,CNTT,,
SV1090,Bùi Minh Hà Khánh,Nữ,1998-08-13,TP. Hồ Chí Minh,0440837716,CLC,CNTT,,
SV1091,Trần Đức Long Quỳnh,Nữ,2000-04-05,Tuyên Quang,0942933494,CTTT,CNTT,,
SV1092,Trần Thành Bảo,Nam,2004-01-23,Lâm Đồng,0960790273,CTTT,CNTT,,
SV1093,Bùi Tú Thùy,Nữ,2002-02-06,Lào Cai,0712102016,CQ,CNTT,,
SV1094,Nguyễn Đức Diệu,Nam,1999-07-02,Phú Thọ,0745890017,VP,CNTT,,
SV1095,Hoàng Thị Kim Thắng,Nữ,2001-02-17,Quảng Nam,0585415987,VP,CNTT,,
SV1096,Lê Thị Tú,Nữ,2002-02-18,Quảng Ninh,0559785025,CLC,CNTT,,
SV1097,Lê Đức Thanh,Nam,2006-03-26,Ninh Bình,0558264107,CQ,CNTT,,
SV1098,Võ Phương Hưng,Nữ,2001-09-20,Hưng Yên,0910522358,CQ,CNTT,,
SV1099,Trần Quốc Việt Bảo,Nữ,2002-02-03,Đồng Tháp,0833341714,CTTT,CNTT,,
SV1100,Võ Văn Huy Phượng,Nữ,2003-01-10,Bà Rịa - Vũng Tàu,0810841363,CTTT,CNTT,,
SV1101,Võ Thị Thúy,Nam,2001-03-27,Bắc Giang,0627955839,CLC,CNTT,,
SV1102,Đặng Như Hiếu,Nam,2005-02-27,Nam Định,0483512339,CQ,CNTT,,
SV1103,Đặng Thành Đức Hiếu,Nữ,2000-02-16,Thái Nguyên,0463827675,CLC,CNTT,,
SV1104,Bùi Thành Đức Đức,Nữ,2003-02-24,Tiền Giang,0667017070,CQ,CNTT,,
SV1105,Võ Huy Tú Hòa,Nữ,2000-06-17,Hà Nội,0439422973,CTTT,CNTT,,
SV1106,Võ Thị Kim Phương,Nam,2001-12-30,Lào Cai,0533538732,CLC,CNTT,,
SV1107,Lê Phương Anh Hiếu,Nữ,2000-10-14,Trà Vinh,0933723771,CQ,CNTT,,
SV1108,Hoàng Huy Linh,Nam,2002-05-16,Cà Mau,0640964091,VP,CNTT,,
SV1109,Phạm Quốc Việt Tân,Nữ,2004-06-11,Vĩnh Long,0546875938,CLC,CNTT,,
SV1110,Hoàng Văn Thúy,Nữ,1999-11-07,Bình Thuận,0434234066,CTTT,CNTT,,
SV1111,Nguyễn Như Thắng,Nữ,1999-10-09,Hòa Bình,0456268926,CTTT,CNTT,,
SV1112,Đặng Thị Tuấn,Nữ,2004-09-01,Nam Định,0679213272,CLC,CNTT,,
SV1113,Huỳnh Phương Ngọc,Nam,2001-05-30,Thừa Thiên Huế,0569546585,CLC,CNTT,,
SV1114,Đỗ Thị Duy,Nam,2004-03-21,Cao Bằng,0458525608,CLC,CNTT,,
SV1115,Huỳnh Tú Phương,Nam,2003-02-12,Sóc Trăng,0730212787,CTTT,CNTT,,
SV1116,Bùi Thành Dương,Nam,1999-02-24,Vĩnh Phúc,0388195800,CQ,CNTT,,
SV1117,Nguyễn Văn Huy Dương,Nam,2003-01-19,Bắc Giang,0371267891,CQ,CNTT,,
SV1118,Trần Thị Tâm,Nam,2001-07-16,Đồng Nai,0746656588,CTTT,CNTT,,
SV1119,Hoàng Văn Huy Trúc,Nữ,2005-03-05,Kon Tum,0379555681,CLC,CNTT,,
SV1120,Lê Thị Nam,Nam,2003-03-09,Vĩnh Phúc,0405407911,CLC,CNTT,,
SV1121,Trần Thành Đức Nguyệt,Nam,2001-04-16,Gia Lai,0469892726,CTTT,CNTT,,
SV1122,Đặng Như Bình,Nữ,2001-07-05,Trà Vinh,0411412558,VP,CNTT,,
SV1123,Đỗ Thị Kim Bình,Nữ,2004-02-24,Quảng Trị,0303118349,CLC,CNTT,,
SV1124,Trần Đức Thắm,Nam,1999-07-23,Hải Dương,0885543921,VP,CNTT,,
SV1125,Huỳnh Thị Kim Thắng,Nữ,2003-06-26,Bình Dương,0977126832,CTTT,CNTT,,
SV1126,Võ Huy Phương,Nữ,2000-09-20,Lạng Sơn,0404211155,VP,CNTT,,
SV1127,Lê Tú Bình,Nữ,2001-06-01,Bắc Giang,0384337964,CQ,CNTT,,
SV1128,Hoàng Minh Hòa,Nam,2004-03-07,Nghệ An,0321228814,CTTT,CNTT,,
SV1129,Lê Văn Trang,Nữ,2000-07-26,Vĩnh Phúc,0374488661,CTTT,CNTT,,
SV1130,Võ Huy Tú Thúy,Nam,2005-08-27,Hưng Yên,0485212379,CTTT,CNTT,,
SV1131,Hoàng Phương Thanh,Nữ,2004-04-26,Đắk Lắk,0899019582,CLC,CNTT,,
SV1132,Nguyễn Minh Mai,Nữ,1999-10-26,Điện Biên,0535650352,CQ,CNTT,,
SV1133,Đặng Tú Thảo,Nam,2003-02-24,Nghệ An,0451018624,CQ,CNTT,,
SV1134,Bùi Tú Quân Trúc,Nam,2006-04-15,Ninh Thuận,0683290211,CTTT,CNTT,,
SV1135,Phạm Hào Nam Đạt,Nam,2005-04-24,Gia Lai,0878075957,CLC,CNTT,,
SV1136,Hoàng Tú Mai,Nam,2004-05-14,Hòa Bình,0895489813,CQ,CNTT,,
SV1137,Đặng Huy Tú Duy,Nữ,2004-12-06,Thừa Thiên Huế,0541910117,CTTT,CNTT,,
SV1138,Đặng Hào Nam Hiếu,Nữ,2002-10-02,Kon Tum,0588028600,VP,CNTT,,
SV1139,Trần Minh Hà Khánh,Nữ,2005-04-27,Bắc Giang,0383661537,CTTT,CNTT,,
SV1140,Hoàng Đức Long Lan,Nữ,2005-12-16,Bắc Giang,0575146880,CQ,CNTT,,
SV1141,Đỗ Văn Huy Tú,Nữ,1998-09-10,Đà Nẵng,0892318612,CTTT,CNTT,,
SV1142,Đỗ Phương Anh Linh,Nam,2001-01-19,Thanh Hóa,0949186290,CLC,CNTT,,
SV1143,Hoàng Minh Ngọc,Nữ,2001-10-27,Thừa Thiên Huế,0885347633,VP,CNTT,,
SV1144,Huỳnh Phương Anh Thùy,Nam,2003-04-26,Kiên Giang,0667452714,CTTT,CNTT,,
SV1145,Nguyễn Minh Hà Mai,Nữ,2005-06-11,Yên Bái,0318923826,CQ,CNTT,,
SV1146,Phạm Huy Tú Thắng,Nam,1999-11-24,Kiên Giang,0833621955,CLC,CNTT,,
SV1147,Đặng Huy Đạt,Nữ,2002-11-29,Phú Thọ,0898112379,CQ,CNTT,,
SV1148,Lê Phương Anh Trang,Nam,2001-11-12,Bình Thuận,0437856734,CLC,CNTT,,
SV1149,Võ Như Linh,Nữ,2004-10-31,Ninh Bình,0533861745,CQ,CNTT,,
SV1150,Lê Thị Kim Tân,Nữ,1998-10-29,Bình Dương,0975289366,CLC,CNTT,,
SV1151,Nguyễn Huy Tú Điền,Nữ,2000-06-17,Hải Phòng,0894068418,CTTT,CNTT,,
SV1152,Đỗ Thị Trường,Nam,2002-10-22,Vĩnh Phúc,0571592225,CQ,CNTT,,
SV1153,Võ Hào Nam Duy,Nữ,2003-06-03,Bắc Giang,0471101761,VP,CNTT,,
SV1154,Huỳnh Thành Đức Hiếu,Nữ,2005-08-12,Cao Bằng,0846555399,CLC,CNTT,,
SV1155,Hoàng Thành Đức Thúy,Nữ,1998-12-13,Hà Nam,0552947657,CTTT,CNTT,,
SV1156,Bùi Quốc Việt Đạt,Nam,2000-11-26,Hà Nam,0913034208,VP,CNTT,,
SV1157,Huỳnh Như Khải,Nam,2001-10-01,Hòa Bình,0322692465,CTTT,CNTT,,
SV1158,Hoàng Thành Đức Bình,Nữ,2002-02-11,Cà Mau,0466248767,CLC,CNTT,,
SV1159,Đặng Tú Quân Thắm,Nam,2006-05-17,Lâm Đồng,0507844366,VP,CNTT,,
SV1160,Lê Tú Quân Tâm,Nam,1999-07-22,Hà Nam,0975797512,VP,CNTT,,
SV1161,Hoàng Minh Hà Phong,Nam,1998-08-17,Bắc Kạn,0400996840,CTTT,CNTT,,
SV1162,Nguyễn Quốc Việt Thúy,Nữ,2004-12-22,Đắk Lắk,0975204917,CQ,CNTT,,
SV1163,Đỗ Quốc Việt Thúy,Nam,2002-01-11,Sơn La,0636729355,CTTT,CNTT,,
SV1164,Trần Hào Nam Thành,Nữ,1999-01-11,Hậu Giang,0995976503,CLC,CNTT,,
SV1165,Đặng Minh Hồng,Nữ,1999-01-06,Quảng Trị,0676818486,VP,CNTT,,
SV1166,Bùi Đức Long Phương,Nam,2004-07-13,Bắc Kạn,0930614969,CQ,CNTT,,
SV1167,Nguyễn Như Thắm,Nam,2002-05-09,Cao Bằng,0586417668,CTTT,CNTT,,
SV1168,Lê Văn Huy Duy,Nam,2001-02-22,Lào Cai,0383921110,CTTT,CNTT,,
SV1169,Trần Đức Thảo,Nữ,2003-09-01,Bình Phước,0659524167,VP,CNTT,,
SV1170,Võ Đức Khánh,Nam,2001-04-05,Nam Định,0347734891,CQ,CNTT,,
SV1171,Trần Hào Nam Lan,Nữ,2004-03-31,Đắk Nông,0703496174,VP,CNTT,,
SV1172,Phạm Thành Đức Hồng,Nữ,2006-06-03,Vĩnh Phúc,0787340100,CTTT,CNTT,,
SV1173,Đặng Tú Quân Thắng,Nữ,2003-02-10,An Giang,0825847595,CTTT,CNTT,,
SV1174,Huỳnh Hồng Thùy,Nam,2001-02-16,Nghệ An,0671106063,CQ,CNTT,,
SV1175,Nguyễn Thành Ngân,Nữ,1999-09-06,Khánh Hòa,0336234410,CQ,CNTT,,
SV1176,Võ Phương Anh Hưng,Nam,2005-09-24,TP. Hồ Chí Minh,0690185867,CTTT,CNTT,,
SV1177,Lê Tú Diệu,Nam,1999-04-11,Bình Dương,0871919720,CQ,CNTT,,
SV1178,Nguyễn Phương Quỳnh,Nữ,2003-10-30,Quảng Ngãi,0829504910,CTTT,CNTT,,
SV1179,Phạm Hào Nam Thúy,Nữ,2003-12-08,Nghệ An,0573244643,CQ,CNTT,,
SV1180,Đỗ Tú Thảo,Nữ,2003-01-24,Lâm Đồng,0884849520,CTTT,CNTT,,
SV1181,Đỗ Huy Tú Phượng,Nam,2000-02-22,Cần Thơ,0854316706,CQ,CNTT,,
SV1182,Hoàng Văn Tâm,Nữ,2003-07-28,Hà Nội,0376188238,CQ,CNTT,,
SV1183,Võ Đức Long Nam,Nữ,2004-10-03,Tuyên Quang,0820114563,CLC,CNTT,,
SV1184,Hoàng Phương Anh Hiếu,Nam,2003-05-22,Quảng Bình,0950728604,CQ,CNTT,,
SV1185,Trần Văn Huy Phúc,Nữ,2005-03-10,Hà Tĩnh,0587528532,CTTT,CNTT,,
SV1186,Bùi Huy Tú Nguyệt,Nữ,1999-04-13,Kiên Giang,0484068646,CLC,CNTT,,
SV1187,Huỳnh Tú Quân Mai,Nam,2000-06-14,Hậu Giang,0368486323,CQ,CNTT,,
SV1188,Bùi Thành Dương,Nam,2005-03-16,Thừa Thiên Huế,0955150784,CLC,CNTT,,
SV1189,Phạm Tú Quân Hoàng,Nam,1998-12-19,Bà Rịa - Vũng Tàu,0590895970,CLC,CNTT,,
SV1190,Lê Thành Khánh,Nữ,2004-05-01,Nghệ An,0534393352,CLC,CNTT,,
SV1191,Trần Thị Ngọc,Nam,2003-02-05,Đắk Lắk,0841027948,CQ,CNTT,,
SV1192,Hoàng Thành Tâm,Nữ,1998-11-17,Ninh Bình,0542768910,CTTT,CNTT,,
SV1193,Đặng Phương Anh Diệu,Nam,2000-08-26,Quảng Ngãi,0304733335,VP,CNTT,,
SV1194,Phạm Văn Minh,Nam,2003-04-30,Lạng Sơn,0711251005,VP,CNTT,,
SV1195,Phạm Thành Quỳnh,Nữ,2001-01-23,Phú Thọ,0464283528,CQ,CNTT,,
SV1196,Võ Như Điền,Nam,2002-04-02,Ninh Bình,0584168818,VP,CNTT,,
SV1197,Phạm Quốc Việt Quang,Nữ,2001-08-21,Bắc Ninh,0404815819,CLC,CNTT,,
SV1198,Hoàng Đức Ngân,Nam,2004-01-19,Vĩnh Long,0719674810,CQ,CNTT,,
SV1199,Hoàng Văn Thanh,Nữ,2001-08-21,Thái Nguyên,0940061446,CLC,CNTT,,
SV1200,Hoàng Phương Anh Ngân,Nam,2005-06-15,Thanh Hóa,0797274657,CTTT,CNTT,,
SV1201,Võ Thành Thắng,Nam,2005-12-13,Lạng Sơn,0906022241,CLC,CNTT,,
SV1202,Võ Phương Thúy,Nam,2005-11-27,Thái Nguyên,0991001679,CTTT,CNTT,,
SV1203,Huỳnh Minh Hà Thắm,Nữ,1999-11-02,Đà Nẵng,0549331444,CLC,CNTT,,
SV1204,Hoàng Hào Nam Linh,Nữ,2004-03-10,Ninh Thuận,0420943225,CLC,CNTT,,
SV1205,Bùi Quốc Việt Anh,Nữ,2005-11-01,Sóc Trăng,0708092368,CTTT,CNTT,,
SV1206,Đặng Huy Phúc,Nữ,1999-08-26,Đà Nẵng,0947160516,CTTT,CNTT,,
SV1207,Võ Thị Kim Hồng,Nam,2005-11-10,Sóc Trăng,0904211892,CTTT,CNTT,,
SV1208,Phạm Minh Phượng,Nữ,2001-11-20,Bình Phước,0906747401,CLC,CNTT,,
SV1209,Hoàng Thành Thùy,Nam,1998-07-04,Bình Dương,0465888446,CTTT,CNTT,,
SV1210,Đỗ Phương Anh Quỳnh,Nữ,2005-04-13,Thừa Thiên Huế,0360332800,CQ,CNTT,,
SV1211,Phạm Như Mai,Nam,2002-06-05,Hải Dương,0338755029,CTTT,CNTT,,
SV1212,Đỗ Thị Hưng,Nam,2003-02-22,Vĩnh Phúc,0885295267,CLC,CNTT,,
SV1213,Võ Văn Khánh,Nam,2000-03-05,Bà Rịa - Vũng Tàu,0919845086,CLC,CNTT,,
SV1214,Huỳnh Văn Quang,Nam,2004-07-01,Thái Nguyên,0408353410,CLC,CNTT,,
SV1215,Huỳnh Phương Tuấn,Nam,2004-02-26,Nam Định,0388028682,CTTT,CNTT,,
SV1216,Hoàng Hồng Hồng,Nữ,2002-01-21,Phú Thọ,0433923235,VP,CNTT,,
SV1217,Huỳnh Huy Đức,Nam,1999-11-26,Trà Vinh,0331348857,CTTT,CNTT,,
SV1218,Đỗ Thành Phúc,Nam,2002-02-18,Kon Tum,0854201539,VP,CNTT,,
SV1219,Huỳnh Văn Thắm,Nam,2005-06-28,Yên Bái,0577335098,VP,CNTT,,
SV1220,Hoàng Thị Kim Hưng,Nam,2002-07-04,Tây Ninh,0804082515,CQ,CNTT,,
SV1221,Phạm Thị Kim Đức,Nam,2005-09-16,Thanh Hóa,0759859324,CTTT,CNTT,,
SV1222,Lê Hào Nam Thảo,Nữ,2001-07-25,Bạc Liêu,0707708426,CLC,CNTT,,
SV1223,Lê Hào Nam Điền,Nam,2001-05-16,Bình Thuận,0726456706,CLC,CNTT,,
SV1224,Hoàng Huy Tú Phong,Nữ,2004-08-02,Hà Nội,0603668484,CLC,CNTT,,
SV1225,Huỳnh Như Thắm,Nữ,2003-01-13,Bắc Kạn,0769143057,CQ,CNTT,,
SV1226,Võ Đức Lan,Nam,2001-10-24,Vĩnh Phúc,0767595130,VP,CNTT,,
SV1227,Trần Huy Thắm,Nữ,2003-09-16,Đồng Tháp,0806366272,CLC,CNTT,,
SV1228,Huỳnh Văn Hưng,Nữ,2005-09-26,Bạc Liêu,0693276700,CTTT,CNTT,,
SV1229,Nguyễn Thành Đức Anh,Nữ,2005-07-01,Gia Lai,0543768800,CTTT,CNTT,,
SV1230,Phạm Như Trường,Nam,2001-09-22,Thừa Thiên Huế,0756526644,CTTT,CNTT,,
SV1231,Hoàng Hào Nam Hồng,Nam,2004-10-20,Bình Phước,0891971756,VP,CNTT,,
SV1232,Phạm Văn Huy Thảo,Nam,2002-12-16,Hà Tĩnh,0659437997,CLC,CNTT,,
SV1233,Bùi Đức Long Trang,Nam,2002-01-31,Bắc Giang,0562542940,CLC,CNTT,,
SV1234,Đặng Minh Trường,Nữ,2001-06-23,Lai Châu,0661401946,CQ,CNTT,,
SV1235,Đỗ Như Hiếu,Nam,1999-04-20,Quảng Nam,0834103269,CQ,CNTT,,
SV1236,Đặng Đức Long Anh,Nữ,2002-12-30,Quảng Nam,0855670674,VP,CNTT,,
SV1237,Đỗ Thị Trang,Nam,2003-12-29,Cần Thơ,0444377309,CLC,CNTT,,
SV1238,Võ Đức Hà,Nữ,2004-03-01,Thái Bình,0764814493,CQ,CNTT,,
SV1239,Nguyễn Đức Hồng,Nữ,2003-12-15,Thanh Hóa,0385556689,CQ,CNTT,,
SV1240,Nguyễn Minh Thúy,Nam,2004-03-26,Hải Phòng,0557527296,VP,CNTT,,
SV1241,Đặng Phương Anh Anh,Nam,1998-12-19,Bạc Liêu,0807633212,CQ,CNTT,,
SV1242,Nguyễn Thị Kim Trang,Nữ,2004-09-08,Nghệ An,0784697348,CQ,CNTT,,
SV1243,Nguyễn Thành Hòa,Nữ,2003-04-16,Cao Bằng,0451531869,CTTT,CNTT,,
SV1244,Võ Thành Đức Diệu,Nam,2004-10-18,Bình Định,0910365161,CTTT,CNTT,,
SV1245,Võ Như Linh,Nam,2006-05-25,Lào Cai,0899886930,CQ,CNTT,,
SV1246,Trần Văn Huy Bảo,Nữ,1998-09-09,Long An,0452302668,CQ,CNTT,,
SV1247,Bùi Đức Long Nam,Nam,2004-10-04,Hải Dương,0907164021,CQ,CNTT,,
SV1248,Nguyễn Hồng Thắng,Nữ,2002-10-04,Hà Giang,0398098465,CTTT,CNTT,,
SV1249,Trần Văn Mai,Nữ,2005-02-08,Gia Lai,0715317248,VP,CNTT,,
SV1250,Bùi Phương Anh Phúc,Nữ,2005-02-28,Yên Bái,0736348267,VP,CNTT,,
SV1251,Nguyễn Văn Huy Hương,Nam,2003-01-28,Hải Phòng,0384510815,VP,CNTT,,
SV1252,Võ Thị Hưng,Nam,2000-09-23,Quảng Trị,0951288822,CLC,CNTT,,
SV1253,Huỳnh Văn Nguyệt,Nam,1999-03-26,Bắc Kạn,0552524315,CTTT,CNTT,,
SV1254,Phạm Thị Kim Hưng,Nữ,2001-06-28,Thừa Thiên Huế,0748065950,CTTT,CNTT,,
SV1255,Võ Tú Hoàng,Nữ,2001-09-11,Ninh Bình,0699032532,CQ,CNTT,,
SV1256,Trần Huy Tú Trường,Nam,2003-04-04,Hòa Bình,0409369799,CQ,CNTT,,
SV1257,Hoàng Hồng Đức,Nữ,2000-01-12,Hưng Yên,0832199349,VP,CNTT,,
SV1258,Hoàng Phương Minh,Nữ,2006-04-08,Điện Biên,0310476580,CQ,CNTT,,
SV1259,Huỳnh Tú Quân Hương,Nam,2004-08-18,Phú Yên,0989119249,CTTT,CNTT,,
SV1260,Nguyễn Hồng Bình,Nam,1998-07-08,Thanh Hóa,0603691168,CTTT,CNTT,,
SV1261,Đặng Hồng Thắm,Nam,2002-02-01,Cao Bằng,0388643793,CTTT,CNTT,,
SV1262,Đỗ Đức Long Diệu,Nam,2002-10-20,Vĩnh Phúc,0427663089,CLC,CNTT,,
SV1263,Đỗ Văn Quỳnh,Nữ,2000-01-18,Cần Thơ,0458395893,CTTT,CNTT,,
SV1264,Phạm Quốc Việt Dương,Nữ,2003-01-21,Hà Tĩnh,0585799178,VP,CNTT,,
SV1265,Đặng Tú Lan,Nữ,2001-10-15,Hải Phòng,0980657793,CLC,CNTT,,
SV1266,Nguyễn Đức Long Minh,Nam,2000-05-18,Lâm Đồng,0488343908,VP,CNTT,,
SV1267,Nguyễn Đức Hiếu,Nữ,2000-12-20,Long An,0324081430,CLC,CNTT,,
SV1268,Hoàng Thành Ngân,Nam,2004-09-14,Đắk Nông,0886730340,CQ,CNTT,,
SV1269,Hoàng Quốc Việt Diệu,Nữ,2001-12-12,Hải Phòng,0396231579,CLC,CNTT,,
SV1270,Võ Thị Phúc,Nữ,1999-10-18,Hòa Bình,0919309572,CTTT,CNTT,,
SV1271,Lê Tú Dương,Nữ,2005-01-29,Nghệ An,0366534642,CQ,CNTT,,
SV1272,Lê Thị Hòa,Nữ,2003-05-13,Sơn La,0980718196,CQ,CNTT,,
SV1273,Huỳnh Hồng Minh,Nam,2005-02-07,Đồng Tháp,0639865564,VP,CNTT,,
SV1274,Bùi Văn Huy Ngọc,Nam,2000-12-01,Tuyên Quang,0651702381,CTTT,CNTT,,
SV1275,Phạm Huy Hiếu,Nam,2003-07-13,Hòa Bình,0989544805,CQ,CNTT,,
SV1276,Đặng Huy Nam,Nữ,2004-02-19,Bình Phước,0305894735,VP,CNTT,,
SV1277,Lê Hồng Hiếu,Nam,2005-05-11,Sơn La,0460703766,CLC,CNTT,,
SV1278,Trần Đức Phong,Nữ,2005-02-17,Phú Yên,0737249068,VP,CNTT,,
SV1279,Huỳnh Thành Điền,Nam,1999-05-23,TP. Hồ Chí Minh,0727698683,CLC,CNTT,,
SV1280,Đỗ Văn Huy Minh,Nam,1998-06-26,Nghệ An,0779703764,CLC,CNTT,,
SV1281,Đỗ Phương Ngân,Nữ,2004-01-31,Quảng Bình,0893368567,CTTT,CNTT,,
SV1282,Đặng Minh Hoàng,Nam,2000-01-26,Cà Mau,0718534203,CLC,CNTT,,
SV1283,Lê Tú Quân Hiếu,Nữ,2004-12-14,Cao Bằng,0874116839,CLC,CNTT,,
SV1284,Trần Thị Trang,Nam,2005-06-10,Hải Phòng,0443792844,CTTT,CNTT,,
SV1285,Phạm Đức Hòa,Nam,1998-08-16,TP. Hồ Chí Minh,0623400415,CLC,CNTT,,
SV1286,Hoàng Thị Duy,Nữ,2006-02-12,Bình Thuận,0372029822,CTTT,CNTT,,
SV1287,Võ Huy Tú Hà,Nam,2002-01-28,Thừa Thiên Huế,0866255485,CTTT,CNTT,,
SV1288,Lê Minh Hà Hưng,Nam,2002-03-21,Bến Tre,0674497046,VP,CNTT,,
SV1289,Bùi Hào Nam Thắm,Nam,2002-02-01,Phú Yên,0605116815,CLC,CNTT,,
SV1290,Trần Hào Nam Ngọc,Nam,2004-06-08,An Giang,0757189120,CTTT,CNTT,,
SV1291,Hoàng Thị Kim Tân,Nữ,2005-04-23,Thái Nguyên,0702504324,CTTT,CNTT,,
SV1292,Hoàng Hồng Duy,Nam,2006-06-12,Cao Bằng,0458747641,CLC,CNTT,,
SV1293,Võ Văn Huy Hương,Nữ,2002-10-25,Tây Ninh,0396021930,CQ,CNTT,,
SV1294,Nguyễn Như Hồng,Nam,2006-06-09,Lâm Đồng,0792224422,VP,CNTT,,
SV1295,Đặng Phương Trang,Nữ,2003-10-01,Hà Tĩnh,0396872045,CLC,CNTT,,
SV1296,Lê Văn Huy Hồng,Nữ,2000-03-18,Kiên Giang,0991385906,CQ,CNTT,,
SV1297,Đặng Minh Tâm,Nữ,2001-12-04,Lạng Sơn,0749083179,CTTT,CNTT,,
SV1298,Võ Phương Hồng,Nữ,2003-09-18,Tiền Giang,0908537092,VP,CNTT,,
SV1299,Hoàng Huy Nam,Nữ,2004-07-21,Hà Nam,0314045083,VP,CNTT,,
SV1300,Huỳnh Tú Duy,Nữ,2001-02-15,Bắc Kạn,0660780287,CQ,CNTT,,
SV1301,Bùi Đức Long Hồng,Nữ,2001-04-21,Điện Biên,0909331350,CTTT,CNTT,,
SV1302,Đỗ Thành Đức Hà,Nữ,2001-11-18,Hải Dương,0587917307,CTTT,CNTT,,
SV1303,Phạm Tú Quân Trường,Nữ,1998-12-06,Bình Phước,0523593440,CLC,CNTT,,
SV1304,Bùi Huy Thanh,Nữ,2005-12-19,Bạc Liêu,0830877158,CLC,CNTT,,
SV1305,Bùi Thị Hoàng,Nam,1999-10-12,Đà Nẵng,0601127949,CQ,CNTT,,
SV1306,Huỳnh Tú Quân Thúy,Nữ,2003-01-30,Quảng Bình,0532311164,CLC,CNTT,,
SV1307,Đỗ Minh Hà Mai,Nam,2004-09-28,Hà Giang,0884017519,CQ,CNTT,,
SV1308,Đặng Thị Kim Dương,Nữ,2006-03-26,Nghệ An,0559640218,VP,CNTT,,
SV1309,Đặng Hào Nam Mai,Nam,2005-04-09,Hà Nam,0978908474,CLC,CNTT,,
SV1310,Phạm Thành Thanh,Nam,2005-11-26,Quảng Ninh,0635862426,CLC,CNTT,,
SV1311,Trần Thành Điền,Nữ,2004-02-09,Quảng Trị,0640901385,CTTT,CNTT,,
SV1312,Bùi Tú Thùy,Nữ,2002-04-01,Đắk Nông,0672887643,VP,CNTT,,
SV1313,Trần Đức Long Trang,Nam,2000-12-10,Quảng Trị,0518454462,CQ,CNTT,,
SV1314,Đỗ Phương Anh Nguyệt,Nữ,2000-04-10,Thanh Hóa,0409863420,VP,CNTT,,
SV1315,Bùi Thành Đức Tâm,Nữ,2000-06-17,Đồng Nai,0734395485,CTTT,CNTT,,
SV1316,Phạm Văn Huy Bình,Nam,2004-07-14,Quảng Bình,0851830819,CQ,CNTT,,
SV1317,Huỳnh Đức Long Ngân,Nữ,2004-02-28,Kiên Giang,0351343248,CQ,CNTT,,
SV1318,Bùi Huy Thắm,Nam,2004-09-26,Bắc Ninh,0912580968,CQ,CNTT,,
SV1319,Nguyễn Hồng Phượng,Nam,2005-02-01,Cao Bằng,0568643619,CQ,CNTT,,
SV1320,Bùi Văn Tân,Nam,2002-10-31,Hà Nội,0576185975,CLC,CNTT,,
SV1321,Lê Tú Quân Trường,Nữ,2002-06-03,Quảng Ngãi,0329923054,CLC,CNTT,,
SV1322,Bùi Thị Hoàng,Nữ,2004-09-20,Hưng Yên,0961663110,VP,CNTT,,
SV1323,Hoàng Tú Hòa,Nam,1999-04-06,Hà Nội,0960738610,CQ,CNTT,,
SV1324,Võ Như Phúc,Nữ,2001-02-20,Đắk Lắk,0831328775,CTTT,CNTT,,
SV1325,Phạm Huy Tú Hải,Nam,2003-02-22,Bắc Kạn,0440257373,CTTT,CNTT,,
SV1326,Bùi Tú Minh,Nam,2005-03-12,Tiền Giang,0826514980,CTTT,CNTT,,
SV1327,Đỗ Đức Khải,Nữ,1998-09-20,Phú Thọ,0581035538,CLC,CNTT,,
SV1328,Đặng Đức Long Nguyệt,Nam,2000-07-16,Thái Nguyên,0585990226,CTTT,CNTT,,
SV1329,Phạm Như Linh,Nữ,2004-01-05,Quảng Bình,0740823866,VP,CNTT,,
SV1330,Hoàng Tú Quân Nguyệt,Nam,1998-11-24,Lâm Đồng,0318756631,CQ,CNTT,,
SV1331,Trần Hồng Trúc,Nữ,2002-01-29,Quảng Ninh,0975342075,VP,CNTT,,
SV1332,Lê Phương Anh Thắm,Nam,2001-09-12,Bà Rịa - Vũng Tàu,0871450257,CLC,CNTT,,
SV1333,Võ Tú Thắng,Nam,2000-01-10,Bình Thuận,0703040629,CLC,CNTT,,
SV1334,Phạm Thị Hải,Nam,2003-06-16,Tiền Giang,0312734961,CLC,CNTT,,
SV1335,Lê Tú Thắng,Nữ,2000-02-28,Hải Dương,0773721930,CQ,CNTT,,
SV1336,Trần Hồng Thắng,Nữ,2000-10-08,Cao Bằng,0687070805,VP,CNTT,,
SV1337,Nguyễn Quốc Việt Tuấn,Nữ,2002-12-07,Hải Phòng,0715697339,VP,CNTT,,
SV1338,Đỗ Phương Hà,Nam,2000-07-07,Lâm Đồng,0930753567,CTTT,CNTT,,
SV1339,Bùi Thị Kim Thúy,Nam,2002-02-26,Trà Vinh,0481029605,VP,CNTT,,
